a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1,whose_move,casting_white,casting_black,pawn,res,link
-60,-45,-40,-100,-1000,0,0,-60,-20,-20,-20,0,0,-20,-20,-20,0,0,0,0,0,-45,0,0,0,0,0,20,0,0,0,0,0,-40,40,0,0,0,0,0,0,0,45,0,0,0,0,0,20,20,0,0,0,20,20,20,60,0,40,100,1000,0,45,60,2,6,6,0,450,https://www.chess.com/analysis/game/master/15749489
-60,-45,-40,-100,-1000,0,0,-60,-20,-20,-20,0,0,-20,-20,-20,0,0,0,0,0,-45,0,0,0,0,0,20,0,0,0,0,100,-40,40,0,0,0,0,0,0,0,45,0,0,0,0,0,20,20,0,0,0,20,20,20,60,0,40,0,1000,0,45,60,1,6,6,0,550,https://www.chess.com/analysis/game/master/15749489
-60,-45,-40,-100,-1000,0,0,-60,-20,0,-20,0,0,-20,-20,-20,0,0,0,0,0,-45,0,0,0,100,0,20,0,0,0,0,0,-40,40,0,0,0,0,0,0,0,45,0,0,0,0,0,20,20,0,0,0,20,20,20,60,0,40,0,1000,0,45,60,1,6,6,0,550,https://www.chess.com/analysis/game/master/15749489
-60,0,-40,0,-1000,-40,0,-60,-20,-20,0,0,0,-20,-20,-20,0,0,-45,0,-20,0,0,0,0,40,0,-100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,20,45,0,0,20,20,0,0,0,20,20,20,60,0,40,0,1000,0,0,60,1,6,6,0,-650,https://www.chess.com/analysis/game/master/15749531
-60,0,-40,0,-1000,-40,0,-60,-20,-20,0,0,0,-20,-20,-20,0,0,-45,0,-20,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,20,45,0,0,20,20,0,0,0,20,20,20,60,0,40,0,1000,0,0,60,2,6,6,0,-640,https://www.chess.com/analysis/game/master/15749531
-60,0,0,0,-1000,-40,-45,-60,-20,-20,-20,0,-20,-20,-20,-20,0,0,-45,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,20,0,0,-40,0,0,0,0,0,0,45,0,0,20,20,0,0,20,20,20,20,60,45,40,100,1000,40,0,60,2,6,6,0,130,https://www.chess.com/analysis/game/master/15748459
-60,0,0,0,-1000,-40,-45,-60,-20,-20,-20,0,-20,-20,-20,-20,0,0,-45,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,20,0,0,-40,0,0,0,45,0,0,45,0,0,20,20,0,0,20,20,20,20,60,0,40,100,1000,40,0,60,1,6,6,0,130,https://www.chess.com/analysis/game/master/15748459
-60,0,0,0,-1000,-40,-45,-60,-20,-20,-20,0,-20,-20,-20,-20,0,0,-45,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,20,0,0,-40,0,0,0,45,0,0,45,0,0,20,20,0,0,20,20,20,20,60,0,40,100,1000,40,0,60,2,6,6,0,130,https://www.chess.com/analysis/game/master/15748459
-60,0,0,0,-1000,-40,-45,-60,-20,-20,-20,0,-20,-20,-20,-20,0,0,-45,0,0,0,0,0,-100,0,0,20,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,45,0,0,45,0,0,20,20,0,0,20,20,20,20,60,0,40,100,1000,40,0,60,1,6,6,0,140,https://www.chess.com/analysis/game/master/15748459
0,0,-1000,-60,0,-40,-45,-60,-20,-20,-20,0,-20,-20,-20,-20,0,0,-45,0,0,0,0,0,-100,0,0,20,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,45,0,0,45,0,0,20,20,0,0,20,20,20,20,60,0,40,100,1000,40,0,60,2,6,1,0,150,https://www.chess.com/analysis/game/master/15748459
